"DIVISION_NO","DIVISION_NAME","DEPARTMENT_NO","DEPARTMENT_NAME","SECT_NO","SECT_NAME","PLANT_NO","PLANT_NAME","PLANT_TYPE","PROVINCE_NAME"
"90000140",RMC Metro,"00014300",Metro 1,"00014264",Prod.พระราม 4,"31N8",พระราม 4/3,CPAC,กรุงเทพมหานคร
"90000140",RMC Metro,"00014300",Metro 1,"00014264",Prod.พระราม 4,"31N9",พระราม 4/2,CPAC,กรุงเทพมหานคร
"90000140",RMC Metro,"00014301",Metro 2,"00014403",Prod.รังสิต,"31NG",นวนคร 4,CPAC,ปทุมธานี
"90000140",RMC Metro,"00014302",Metro 3,"00014371",Prod.พระราม 2,"31NN",กัลปพฤกษ์,CPAC,กรุงเทพมหานคร
"90000140",RMC Metro,"00014300",Metro 1,"00014388",Prod.บางซื่อ,"31NQ",ตลิ่งชัน 3,CPAC,กรุงเทพมหานคร
"90000140",RMC Metro,"00014302",Metro 3,"00014432",Prod.สุวรรณภูมิ,"31NR",บางนา กม.23,CPAC,สมุทรปราการ
"90000140",RMC Metro,"00014300",Metro 1,"00014388",Prod.บางซื่อ,"31NS",มหาสวัสดิ์ 2,CPAC,นนทบุรี
"90000140",RMC Metro,"00014301",Metro 2,"00014404",Prod.รามอินทรา,"31NU",หลักสี่,CPAC,กรุงเทพมหานคร
"90000140",RMC Metro,"00014300",Metro 1,"00014388",Prod.บางซื่อ,"31NV",บางศรีเมือง,CPAC,นนทบุรี
"90000140",RMC Metro,"00014301",Metro 2,"00014404",Prod.รามอินทรา,"31NZ",นวมินทร์ 2,CPAC,กรุงเทพมหานคร
"90000145",RMC Northeast,"00014222",Northeast 1,"00014225",Prod.โคราช-เขาใหญ่,"31O5",สีคิ้ว 2,CPAC,นครราชสีมา
"90000145",RMC Northeast,"00014243",Northeast 2,"00014246",Prod.อุดรธานี,"31P2",FC อุดรธานี (Type N),N,อุดรธานี
"90000145",RMC Northeast,"00014243",Northeast 2,"00014282",Prod.ขอนแก่น,"31P4",บ้านไผ่ 2,CPAC,ขอนแก่น
"90000145",RMC Northeast,"00014222",Northeast 1,"00014225",Prod.โคราช-เขาใหญ่,"31PA",โคราช,CPAC,นครราชสีมา
"90000145",RMC Northeast,"00014222",Northeast 1,"00014252",Prod.โคราช-ชัยภูมิ,"31PB",โคราช-บ้านโพธิ์,CPAC,นครราชสีมา
"90000145",RMC Northeast,"00014222",Northeast 1,"00014251",Prod.โคราช-หัวทะเล,"31PD",โคราช-หัวทะเล 2,CPAC,นครราชสีมา
"90000145",RMC Northeast,"00014222",Northeast 1,"00014277",Prod.บุรีรัมย์,"31PI",บุรีรัมย์,CPAC,บุรีรัมย์
"90000145",RMC Northeast,"00014222",Northeast 1,"00014277",Prod.บุรีรัมย์,"31PY",บุรีรัมย์ 2,CPAC,บุรีรัมย์
"90000145",RMC Northeast,"00014248",Northeast 3,"00014242",Prod.สกลนคร,"31PZ",มุกดาหาร 3,CPAC,มุกดาหาร
"90000145",RMC Northeast,"00014243",Northeast 2,"00014282",Prod.ขอนแก่น,"31QA",ขอนแก่น,CPAC,ขอนแก่น
"90000145",RMC Northeast,"00014243",Northeast 2,"00014282",Prod.ขอนแก่น,"31QB",ขอนแก่น-มะลิวัลย์,CPAC,ขอนแก่น
"90000145",RMC Northeast,"00014243",Northeast 2,"00014282",Prod.ขอนแก่น,"31QC",ขอนแก่น-บ้านสำราญ,CPAC,ขอนแก่น
"90000145",RMC Northeast,"00014243",Northeast 2,"00014283",Prod.ร้อยเอ็ด,"31QE",มหาสารคาม,CPAC,มหาสารคาม
"90000145",RMC Northeast,"00014243",Northeast 2,"00014282",Prod.ขอนแก่น,"31QF",อุดร-โพศรี,CPAC,อุดรธานี
